snapshot_date,commence_time,home_team,away_team,market,player,selection,line,american_odds,book,model_probability,edge,calibrated_probability,calibrated_edge,gates_in_force
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,moneyline,,home,,-290,draftkings,0.69540949474898,-0.04818024884076366,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,moneyline,,away,,235,draftkings,0.30459050525101994,0.006083042564452801,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,spread,,home,-6.5,-115,draftkings,0.5164551362769739,-0.018428584653258584,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,spread,,away,6.5,-105,draftkings,0.4835448637230244,-0.028650258228195113,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,total_points,,over,47.5,-110,draftkings,0.3777246508220836,-0.14608487298744022,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,total_points,,under,47.5,-110,draftkings,0.6222753491779167,0.09846582536839288,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,moneyline,,home,,-320,williamhill_us,0.69540949474898,-0.06649526715578191,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,moneyline,,away,,250,williamhill_us,0.30459050525101994,0.01887621953673424,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,spread,,home,-6.5,-118,williamhill_us,0.5164551362769739,-0.02482926739275082,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,spread,,away,6.5,-102,williamhill_us,0.4835448637230244,-0.021405631326480545,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,total_points,,over,47.5,-110,williamhill_us,0.3777246508220836,-0.14608487298744022,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,total_points,,under,47.5,-109,williamhill_us,0.6222753491779167,0.10074424869944787,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,moneyline,,home,,-310,betus,0.69540949474898,-0.06068806622662981,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,moneyline,,away,,255,betus,0.30459050525101994,0.022900364405949503,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,spread,,home,-7.0,100,betus,0.49755250286016706,-0.0024474971398329437,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,spread,,away,7.0,-120,betus,0.5024474971398328,-0.04300704831471258,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,total_points,,over,47.5,-110,betus,0.3777246508220836,-0.14608487298744022,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,total_points,,under,47.5,-110,betus,0.6222753491779167,0.09846582536839288,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
2026-09-21,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,moneyline,,home,,-305,betonlineag,0.69540949474898,-0.05767692500410648,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.
